incident_id,match_reason,MMSI,Name,Ship type,IMO,n_points,first_seen,last_seen
INC-2022-09-26,sanctioned_imo,352001530,MINERVA M,Tanker,9282479,3453,2022-09-26 02:04:39+02:00,2022-09-26 10:27:49+02:00
INC-2022-09-26,sanctioned_imo,636013274,NS LAGUNA,Tanker,9339325,5009,2022-09-26 10:35:08+02:00,2022-09-27 01:59:58+02:00
INC-2022-09-26,sanctioned_imo,236728000,CONQUEROR,Tanker,9275660,691,2022-09-26 02:02:44+02:00,2022-09-27 01:59:44+02:00
INC-2022-09-26,sanctioned_imo,636015827,MEROPE,Tanker,9281891,622,2022-09-27 00:14:48+02:00,2022-09-27 01:59:58+02:00
INC-2022-09-26,sanctioned_imo,219081000,TERNVAG,Tanker,9277371,2581,2022-09-26 18:37:32+02:00,2022-09-27 01:59:50+02:00
INC-2022-09-26,sanctioned_imo,636012853,NS CENTURY,Tanker,9306782,9241,2022-09-26 02:02:00+02:00,2022-09-27 01:59:50+02:00
INC-2022-09-26,sanctioned_imo,273295950,TERSKIY BEREG,Cargo,9081368,5029,2022-09-26 12:16:16+02:00,2022-09-27 01:59:55+02:00
INC-2023-10-08,sanctioned_imo,352002137,THALIA III,Tanker,9259197,1728,2023-10-08 02:03:48+02:00,2023-10-08 06:47:43+02:00
INC-2023-10-08,sanctioned_imo,352002102,APATE,Tanker,9433016,704,2023-10-08 02:02:59+02:00,2023-10-09 01:57:03+02:00
INC-2023-10-08,sanctioned_imo,636012856,NS CREATION,Tanker,9312896,593,2023-10-08 02:03:30+02:00,2023-10-08 03:43:21+02:00
INC-2023-10-08,sanctioned_imo,636012659,NS CAPTAIN,Tanker,9341067,9082,2023-10-08 02:05:57+02:00,2023-10-09 01:59:58+02:00
INC-2023-10-08,sanctioned_imo,636012800,NS STREAM,Tanker,9318541,10488,2023-10-08 02:02:52+02:00,2023-10-09 01:59:54+02:00
INC-2024-11-17,sanctioned_imo,352002243,NESTOS,Tanker,9417464,31132,2024-11-17 01:01:23+01:00,2024-11-18 00:26:24+01:00
INC-2024-11-17,sanctioned_imo,636023677,TB ANPING,Cargo,9237084,5063,2024-11-17 01:09:24+01:00,2024-11-17 07:31:27+01:00
INC-2024-11-17,sanctioned_imo,376846000,ACE,Cargo,9228538,8179,2024-11-17 01:04:06+01:00,2024-11-17 12:25:34+01:00
INC-2024-11-17,sanctioned_imo,352003222,NEVE,Tanker,9224465,16470,2024-11-17 08:59:59+01:00,2024-11-18 00:59:55+01:00
INC-2024-11-17,sanctioned_imo,626278000,YI MENG SHAN,Tanker,9436941,28630,2024-11-17 01:04:57+01:00,2024-11-18 00:59:52+01:00
INC-2024-11-17,sanctioned_imo,626399000,NS PRIDE,Tanker,9322956,18422,2024-11-17 01:04:30+01:00,2024-11-17 22:43:55+01:00
INC-2024-11-17,sanctioned_imo,352002791,ELEGANCE,Tanker,9383950,5096,2024-11-17 01:00:30+01:00,2024-11-17 10:37:23+01:00
INC-2024-11-17,sanctioned_imo,352001906,ANAYA,Tanker,9326885,686,2024-11-17 01:02:45+01:00,2024-11-18 00:57:17+01:00
INC-2024-12-25,sanctioned_imo,273297850,BALTIC LEADER,Cargo,9220639,34,2024-12-25 23:55:58+01:00,2024-12-26 00:59:24+01:00
INC-2024-12-25,sanctioned_imo,273292160,LADY MARIIA,Cargo,9220641,13916,2024-12-25 01:05:01+01:00,2024-12-25 15:33:58+01:00
INC-2024-12-25,sanctioned_imo,314950000,ZENITH,Tanker,9610781,10027,2024-12-25 09:08:32+01:00,2024-12-26 00:59:50+01:00
INC-2024-12-25,sanctioned_imo,352002355,USKUDAR,Tanker,9369760,1764,2024-12-25 01:03:05+01:00,2024-12-26 00:59:09+01:00
INC-2024-12-25,sanctioned_imo,352001758,EVENTIN,Tanker,9308065,48356,2024-12-25 01:00:39+01:00,2024-12-26 00:59:53+01:00
INC-2024-12-25,sanctioned_imo,273611590,VOSTOCHNY PROSPECT,Tanker,9866392,6567,2024-12-25 01:05:15+01:00,2024-12-25 09:31:51+01:00
INC-2024-12-25,sanctioned_imo,273215210,POLA HARITA,Cargo,9888792,16360,2024-12-25 01:03:17+01:00,2024-12-26 00:59:56+01:00
INC-2024-12-25,sanctioned_imo,273394890,SPARTA II,Cargo,9160994,12532,2024-12-25 03:36:33+01:00,2024-12-26 00:59:49+01:00
